player_id,G,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,1B,wOBA
12,159,564,99,142,19,3,30,88,257,100,196,1,1,0.252,0.364,0.456,0.82,90,0.3629
15,159,640,108,188,31,9,29,122,324,59,107,25,8,0.294,0.353,0.506,0.859,119,0.3738
16,159,597,105,162,30,1,35,97,299,86,180,0,0,0.271,0.363,0.501,0.864,96,0.3776
22,5,10,2,1,1,0,0,0,2,2,4,0,0,0.1,0.25,0.2,0.45,0,0.2209
31,158,600,93,170,41,0,35,102,316,55,153,1,1,0.283,0.344,0.527,0.871,94,0.3772
47,109,387,39,96,17,2,10,48,147,44,108,0,0,0.248,0.325,0.38,0.705,67,0.3149
54,153,575,96,140,30,2,19,82,231,97,168,2,1,0.243,0.353,0.402,0.755,89,0.3382
62,155,636,107,181,36,6,39,104,346,65,190,2,1,0.285,0.351,0.544,0.895,100,0.3866
78,151,618,92,158,38,4,11,51,237,89,139,2,5,0.256,0.349,0.383,0.732,105,0.3289
137,160,608,117,181,37,2,41,139,345,92,144,1,0,0.298,0.39,0.567,0.957,101,0.4137
182,129,491,76,134,34,4,17,64,227,62,106,0,2,0.273,0.354,0.462,0.816,79,0.3586
229,156,628,107,170,45,9,16,82,281,99,181,15,10,0.271,0.37,0.447,0.817,100,0.361
254,97,348,35,92,20,2,8,44,140,40,108,5,2,0.264,0.34,0.402,0.742,62,0.3302
937,93,333,41,79,16,4,9,44,130,25,89,1,5,0.237,0.291,0.39,0.681,50,0.2999
1226,40,154,24,53,10,0,8,27,87,18,13,0,0,0.344,0.413,0.565,0.978,35,0.4245
13539,48,179,17,45,12,0,4,23,69,5,24,1,0,0.251,0.272,0.385,0.657,29,0.2873
15884,2125,1410,263,342,33,1,7,137,398,104,261,41,13,0.243,0.295,0.282,0.577,301,0.2624
17965,152,598,97,173,39,0,17,75,263,83,135,1,1,0.289,0.376,0.44,0.816,117,0.3619
18139,122,453,77,137,22,2,17,61,214,36,59,3,1,0.302,0.354,0.472,0.826,96,0.362
18166,153,612,77,145,32,3,15,62,228,65,167,4,4,0.237,0.31,0.373,0.683,95,0.3046
18378,81,275,49,71,14,1,12,44,123,34,50,0,0,0.258,0.34,0.447,0.787,44,0.3468
18414,162,626,107,170,42,2,33,96,315,59,135,1,0,0.272,0.334,0.503,0.837,93,0.3639
18456,54,134,18,27,5,1,2,14,40,13,43,0,0,0.201,0.272,0.299,0.571,19,0.2586
18500,144,555,78,130,23,0,17,65,204,71,144,5,1,0.234,0.321,0.368,0.689,90,0.3097
18507,1308,1459,182,309,42,1,68,254,557,281,517,8,3,0.212,0.339,0.382,0.721,198,0.3262
18509,158,606,76,171,35,0,24,88,278,32,108,0,1,0.282,0.318,0.459,0.777,112,0.3393
18511,156,609,90,152,30,0,32,105,278,61,147,2,1,0.25,0.318,0.456,0.774,90,0.3394
18512,146,560,58,139,30,3,10,74,205,34,95,0,0,0.248,0.291,0.366,0.657,96,0.2907
18525,141,551,78,144,27,2,26,84,253,75,118,3,1,0.261,0.35,0.459,0.809,89,0.3562
18551,104,336,51,66,12,0,10,36,108,73,108,0,0,0.196,0.34,0.321,0.661,44,0.3073
18582,155,551,60,135,26,2,13,77,204,37,118,9,3,0.245,0.293,0.37,0.663,94,0.2935
18612,99,358,27,80,18,1,2,25,106,26,52,0,0,0.223,0.276,0.296,0.572,59,0.2579
18613,142,555,92,156,29,1,27,115,268,53,136,3,3,0.281,0.344,0.483,0.827,99,0.3613
18649,64,202,39,59,8,1,11,35,102,16,46,1,0,0.292,0.344,0.505,0.849,39,0.3696
