player_id,W,L,SV,ERA,G,GS,IP,HA,R,ER,HR,BB,K,WHIP,OAVG,BABIP,BF,FIP,K/9,BB/9,HR/9
6,7,18,0,5.08,32,32,180.7,201,110,102,23,63,200,1.46,0.271,0.342,806.0,3.69,10.0,3.1,1.1
9,11,7,0,4.95,33,33,200.0,244,126,110,24,75,153,1.59,0.289,0.33,919.0,4.36,6.9,3.4,1.1
10,10,11,0,4.07,32,32,196.7,189,98,89,24,94,150,1.44,0.243,0.273,873.0,4.69,6.9,4.3,1.1
18,15,6,0,3.36,33,33,190.0,170,80,71,22,65,205,1.24,0.23,0.288,805.0,3.57,9.7,3.1,1.0
19,16,11,0,4.57,31,31,208.7,228,111,106,14,49,223,1.33,0.267,0.347,903.0,2.64,9.6,2.1,0.6
20,2,1,2,3.06,27,0,35.3,32,15,12,4,23,56,1.56,0.232,0.359,161.0,3.45,14.3,5.9,1.0
22,0,0,0,9.0,1,0,1.0,1,1,1,0,2,0,3.0,0.25,0.25,6.0,9.2,0.0,18.0,0.0
26,7,1,1,4.27,68,0,86.3,82,44,41,6,46,115,1.48,0.24,0.345,387.0,3.04,12.0,4.8,0.6
39,15,9,0,3.98,34,34,205.7,202,107,91,26,63,182,1.29,0.247,0.288,882.0,3.99,8.0,2.8,1.1
44,5,0,2,1.07,36,0,58.7,28,7,7,1,34,93,1.06,0.137,0.245,238.0,1.99,14.3,5.2,0.2
53,3,5,2,3.32,48,0,62.3,53,29,23,4,47,98,1.6,0.221,0.355,287.0,3.15,14.2,6.8,0.6
139,10,18,0,7.11,33,33,181.0,263,161,143,37,56,113,1.76,0.326,0.345,862.0,5.54,5.6,2.8,1.8
163,4,6,5,3.88,41,0,53.3,40,24,23,9,22,93,1.16,0.2,0.316,222.0,3.14,15.7,3.7,1.5
186,10,16,0,5.41,31,31,169.7,188,105,102,22,70,114,1.52,0.27,0.296,767.0,4.78,6.0,3.7,1.2
188,2,2,1,4.85,25,0,42.7,41,24,23,2,17,69,1.36,0.243,0.398,186.0,1.77,14.5,3.6,0.4
190,8,17,0,6.94,31,31,150.3,190,126,116,27,69,133,1.72,0.296,0.339,710.0,5.14,8.0,4.1,1.6
202,4,4,5,2.61,74,0,79.3,51,26,23,3,42,101,1.17,0.176,0.259,331.0,2.73,11.5,4.8,0.3
230,13,11,0,4.47,34,34,187.3,188,108,93,23,71,162,1.38,0.251,0.292,821.0,4.2,7.8,3.4,1.1
256,3,1,2,4.55,43,0,91.0,99,50,46,14,34,99,1.46,0.266,0.328,406.0,4.15,9.8,3.4,1.4
260,3,1,2,4.01,48,0,110.0,115,51,49,15,40,107,1.41,0.258,0.31,485.0,4.12,8.8,3.3,1.2
275,6,2,3,2.15,32,0,50.3,47,15,12,5,10,59,1.13,0.237,0.313,208.0,2.74,10.6,1.8,0.9
299,4,0,0,4.09,47,0,77.0,65,36,35,10,26,74,1.18,0.22,0.259,322.0,3.98,8.6,3.0,1.2
341,4,2,3,4.11,62,0,105.0,81,49,48,11,63,150,1.37,0.205,0.298,459.0,3.5,12.9,5.4,0.9
424,3,4,2,4.14,57,0,71.7,71,36,33,4,43,59,1.59,0.248,0.3,329.0,4.08,7.4,5.4,0.5
426,3,0,0,1.96,30,0,41.3,29,9,9,2,14,51,1.04,0.19,0.27,167.0,2.38,11.1,3.1,0.4
657,20,7,0,3.6,33,33,192.3,183,89,77,22,58,221,1.25,0.241,0.311,818.0,3.29,10.3,2.7,1.0
713,9,11,0,4.7,36,4,203.0,208,110,106,26,51,199,1.28,0.255,0.307,868.0,3.66,8.8,2.3,1.2
716,13,12,0,3.28,33,33,208.3,182,84,76,19,68,216,1.2,0.226,0.285,875.0,3.29,9.3,2.9,0.8
1114,224,417,0,160.71999999999994,978,978,5177.8,5628,3393,3168,625,2745,4177,47.08000000000001,0.266,0.306,23906.0,4.75,7.3,4.8,1.1
1131,16,7,0,3.96,35,35,211.3,189,103,93,26,89,202,1.32,0.23,0.274,912.0,4.15,8.6,3.8,1.1
1179,14,8,0,4.35,32,32,194.3,181,100,94,33,62,233,1.25,0.237,0.297,826.0,3.97,10.8,2.9,1.5
2089,3,4,0,3.89,51,0,71.7,71,33,31,7,32,74,1.44,0.248,0.312,318.0,3.74,9.3,4.0,0.9
17886,5,2,0,4.27,42,0,59.0,63,29,28,6,31,66,1.59,0.262,0.339,271.0,3.86,10.1,4.7,0.9
17889,4,1,3,1.16,51,0,46.7,30,7,6,3,26,72,1.2,0.176,0.284,196.0,2.62,13.9,5.0,0.6
18306,18,12,0,3.85,34,34,236.0,223,106,101,38,41,262,1.12,0.24,0.293,972.0,3.59,10.0,1.6,1.4
18384,3,0,0,3.29,47,0,79.3,70,32,29,11,32,74,1.29,0.227,0.265,340.0,4.35,8.4,3.6,1.2
18405,22,7,0,2.82,33,33,230.0,184,74,72,19,56,293,1.04,0.211,0.294,930.0,2.46,11.5,2.2,0.7
18430,5,4,12,3.02,59,0,56.7,48,20,19,6,30,52,1.38,0.22,0.262,248.0,4.33,8.3,4.8,1.0
18445,14,12,0,5.17,34,34,205.3,232,123,118,26,60,190,1.42,0.274,0.326,908.0,3.87,8.3,2.6,1.1
18493,65,157,19,173.51,1881,579,3316.5,4001,2360,2206,571,1355,2747,46.849999999999994,0.287,0.323,15305.0,5.01,7.5,3.7,1.5
18504,2,1,4,4.21,43,0,92.0,88,47,43,9,44,107,1.43,0.242,0.319,408.0,3.58,10.5,4.3,0.9
18507,0,0,0,0.0,3,0,3.7,5,2,0,0,2,2,4.2,0.312,0.357,18.0,3.74,4.9,4.9,0.0
18521,9,12,0,4.79,33,33,180.3,210,116,96,23,59,163,1.49,0.28,0.331,810.0,4.03,8.1,2.9,1.1
18522,9,11,0,5.89,32,32,171.0,216,122,112,23,60,134,1.61,0.296,0.337,789.0,4.43,7.1,3.2,1.2
18534,7,1,2,3.62,63,0,79.7,67,33,32,6,27,97,1.18,0.219,0.3,333.0,2.76,11.0,3.0,0.7
18552,3,4,30,3.0,58,0,54.0,34,19,18,6,26,97,1.11,0.173,0.301,222.0,2.5,16.2,4.3,1.0
18572,18,4,0,4.06,32,4,166.3,156,84,75,22,58,177,1.29,0.238,0.294,713.0,3.84,9.6,3.1,1.2
18579,15,5,0,3.76,32,32,196.3,168,90,82,12,65,197,1.19,0.222,0.285,822.0,2.98,9.0,3.0,0.6
18625,4,1,2,3.98,49,0,113.0,118,53,50,19,16,114,1.19,0.258,0.306,473.0,3.79,9.1,1.3,1.5
18630,13,8,0,4.76,34,3,172.0,176,98,91,30,47,138,1.3,0.254,0.279,739.0,4.68,7.2,2.5,1.6
18645,17,3,0,4.05,32,32,204.7,192,100,92,32,53,186,1.2,0.238,0.272,859.0,4.19,8.2,2.3,1.4
18700,0,2,1,3.47,31,0,49.3,41,21,19,10,9,61,1.01,0.217,0.263,198.0,3.91,11.1,1.6,1.8
18762,4,1,3,3.09,47,0,81.7,72,32,28,11,19,98,1.11,0.227,0.293,336.0,3.25,10.8,2.1,1.2
18825,10,10,0,5.54,33,33,175.3,211,112,108,34,48,133,1.48,0.286,0.311,785.0,5.03,6.8,2.5,1.7
18847,17,8,0,4.49,33,33,200.3,191,105,100,26,59,222,1.25,0.241,0.303,851.0,3.55,10.0,2.7,1.2
18901,5,3,1,4.37,49,13,78.3,80,45,38,17,21,81,1.29,0.254,0.29,336.0,4.76,9.3,2.4,2.0
18969,0,0,0,73.66000000000001,13,0,18.8,32,21,17,2,16,8,22.71,0.364,0.385,104.0,6.29,3.8,7.7,1.0
18979,7,1,0,3.4,53,0,92.7,93,38,35,10,23,90,1.25,0.251,0.306,394.0,3.4,8.7,2.2,1.0
19064,20,8,0,3.02,34,34,205.3,179,78,69,21,62,253,1.17,0.225,0.303,857.0,2.97,11.1,2.7,0.9
19091,3,3,36,2.57,49,0,49.0,35,15,14,4,22,83,1.16,0.192,0.326,204.0,2.22,15.2,4.0,0.7
19096,1,10,4,4.26,53,0,57.0,53,27,27,6,34,79,1.53,0.237,0.338,258.0,3.59,12.5,5.4,0.9
19105,14,6,0,3.6,30,30,195.0,186,87,78,27,55,188,1.24,0.241,0.286,826.0,3.92,8.7,2.5,1.2
19110,27,3,0,3.08,34,34,234.0,207,92,80,21,47,314,1.09,0.228,0.324,956.0,2.29,12.1,1.8,0.8
19147,12,13,0,5.6,31,31,176.7,194,116,110,26,82,158,1.56,0.268,0.311,806.0,4.72,8.0,4.2,1.3
19160,15,10,0,3.77,34,34,224.7,207,103,94,24,48,211,1.14,0.235,0.283,929.0,3.35,8.5,1.9,1.0
19236,17,9,0,3.33,32,32,208.3,208,80,77,22,32,193,1.15,0.25,0.301,865.0,3.18,8.3,1.4,1.0
