team_id,W,L,SV,HA,R,ER,HR,BB,K,IP,AB,SB,CS,TB,1B,2B,3B,BF,AVG,SLG,OBP,OPS,wOBA,FIP,K/9,BB/9,HR/9,BABIP
31,94.0,68.0,54.0,1336.0,705.0,646.0,177.0,553.0,1674.0,1446.0,5508.0,88.0,31.0,2170.0,886.0,243.0,30.0,6227.0,0.243,0.394,0.312,0.706,0.3131,3.62,10.4,3.4,1.1,0.317
32,110.0,52.0,54.0,1341.0,671.0,624.0,160.0,548.0,1537.0,1469.0,5578.0,87.0,35.0,2140.0,894.0,255.0,32.0,6296.0,0.24,0.384,0.308,0.692,0.3075,3.64,9.4,3.4,1.0,0.304
33,72.0,90.0,45.0,1487.0,756.0,692.0,178.0,579.0,1479.0,1443.0,5621.0,91.0,35.0,2396.0,967.0,309.0,33.0,6395.0,0.265,0.426,0.333,0.759,0.3352,3.96,9.2,3.6,1.1,0.33
34,107.0,55.0,58.0,1394.0,637.0,584.0,168.0,429.0,1585.0,1476.3,5681.0,51.0,25.0,2212.0,943.0,252.0,31.0,6252.0,0.245,0.389,0.298,0.687,0.3039,3.4,9.7,2.6,1.0,0.312
35,75.0,87.0,47.0,1428.0,747.0,688.0,156.0,604.0,1644.0,1461.0,5641.0,85.0,36.0,2228.0,988.0,236.0,48.0,6415.0,0.253,0.395,0.325,0.72,0.3202,3.58,10.1,3.7,1.0,0.331
36,95.0,67.0,53.0,1285.0,680.0,622.0,136.0,539.0,1528.0,1453.0,5497.0,114.0,33.0,1976.0,895.0,225.0,29.0,6183.0,0.234,0.359,0.302,0.661,0.2958,3.43,9.5,3.3,0.8,0.3
37,104.0,58.0,63.0,1552.0,782.0,740.0,188.0,517.0,1552.0,1451.3,5694.0,67.0,41.0,2476.0,1043.0,282.0,39.0,6423.0,0.273,0.435,0.333,0.768,0.338,3.81,9.6,3.2,1.2,0.345
38,97.0,65.0,53.0,1414.0,642.0,596.0,164.0,419.0,1627.0,1471.3,5674.0,97.0,32.0,2202.0,984.0,236.0,30.0,6247.0,0.249,0.388,0.301,0.689,0.3046,3.29,10.0,2.6,1.0,0.322
39,87.0,75.0,49.0,1475.0,802.0,740.0,205.0,580.0,1457.0,1442.3,5620.0,66.0,28.0,2426.0,982.0,240.0,48.0,6382.0,0.262,0.432,0.331,0.763,0.3364,4.23,9.1,3.6,1.3,0.321
40,92.0,70.0,55.0,1397.0,667.0,638.0,169.0,514.0,1422.0,1471.0,5611.0,64.0,29.0,2217.0,950.0,243.0,35.0,6324.0,0.249,0.395,0.312,0.707,0.3133,3.81,8.7,3.1,1.0,0.305
41,71.0,91.0,47.0,1469.0,772.0,734.0,179.0,522.0,1531.0,1472.0,5687.0,85.0,29.0,2360.0,979.0,268.0,43.0,6407.0,0.258,0.415,0.321,0.736,0.3246,3.76,9.4,3.2,1.1,0.324
42,105.0,57.0,43.0,1308.0,607.0,565.0,133.0,502.0,1657.0,1463.3,5548.0,111.0,36.0,2038.0,877.0,265.0,33.0,6200.0,0.236,0.367,0.299,0.666,0.2966,3.15,10.2,3.1,0.8,0.313
43,91.0,71.0,58.0,1384.0,720.0,668.0,184.0,506.0,1425.0,1444.0,5541.0,82.0,29.0,2278.0,902.0,254.0,44.0,6222.0,0.25,0.411,0.313,0.724,0.3193,3.93,8.9,3.2,1.1,0.305
